,shopid,title,address,rating,recdish,deal
0,l8hrhavp0kuom9W1,渝大狮毛肚老火锅(解放碑店),磁器街得意世界二楼,4.92,麻辣牛肉*屠宰场毛肚*鲜鸭血,此餐馆有6个团购
1,k6sCyr1j8sKjRPVu,周师兄火锅(解放碑直营店),民生路9号阳光星座,4.91,大刀腰片*现切黄牛肉*特色小郡肝,此餐馆有2个团购**本店支持在线下单，足不出户，外送到家！
2,H4TtTPlKij8eIXay,耙二哥腰片王老火锅(解放碑店),邹容路129-131号世贸中心平街一楼附45号,4.90,腰片火锅*自制午餐肉*冷锅鸭血,此餐馆有4个团购
3,k52BUMTToDb5S6Fv,仁婆婆酥肉老火锅,新华路得意世界2楼,4.90,虾滑*吊龙黄牛酥肉*城口土猪酥肉,
4,H4fI1YLB18Nz33vd,黄家码头老火锅(解放碑旗舰店),解放碑五四路28号赛格尔大厦第二层,4.88,鲜毛肚*现炸酥肉*码头极品鸭肠,此餐馆有5个团购*
5,H27iZ7G3rh0Y1o3S,尽膳口福跷脚牛肉(时代广场店),解放碑五四路时代广场6楼,4.88,九秒牛肉*手工糍粑*鲜切黄牛上脑,此餐馆有4个团购
6,hig4RSbfaxgZjSlp,老城九宫格老火锅(解放碑总店),文化街116号（凯旋路大扶梯向弯道直行300米）,4.88,鲜鸭血*鲜鸭肠*红汤锅底,此餐馆有4个团购
7,EOuzhQv5QdgbfWo8,洞子李毛肚火锅(解放碑总店),解放碑大同路66号,4.87,洞子李招牌毛肚*虾滑*酥肉,此餐馆有6个团购
8,H2oMjY8ivmnIbOfk,厨匠老火锅(解放碑·洪崖洞店),解放碑八一路五一天地1楼门面房,4.87,特色鲜毛肚*五虎上将*自制黑豆腐,此餐馆有5个团购
9,k6dSsbeXq3U18ZAO,等等老火锅(解放碑金店),来龙巷,4.87,等等手打虾滑*精品毛肚*等等卤鸡爪,此餐馆有6个团购*本店支持在线下单，足不出户，外送到家！
10,G4ZkVQ9rQQZYH542,麻老九老火锅(解放碑总店),八一路183号（八一路与中华路交叉路口、解放碑南侧200米）,4.87,枫味虾滑*牛肉拼*嫩滑牛肝,
11,l71xSj9Z9KTndkJ2,廖二娃串串香,渝中区九尺坎12号1-4,4.86,鲜毛肚*串串*麻辣牛肉,此餐馆有5个团购
12,k9mYwjR3mDVVrGJz,受气牛肉(解放碑店),较场口石灰市100号,4.86,受气牛肉底料*牛筋*高山坨坨萝卜,此餐馆有5个团购*本店支持在线下单，足不出户，外送到家！
13,k2amvMqAaua8Ui8b,山亦城·九宫格老火锅(解放碑店),八一路181号,4.86,五虎上将*鲜鸭血*自制黑豆腐,此餐馆有6个团购*
14,k3KGNNfkZ4v6sD1I,慈记外婆桥食集·廿年川菜(解放碑店),五一路解放碑大都会7楼（距人民解放纪念碑约228米）,4.85,外婆桥招牌蛋煎糍粑*腊味箜饭*粉蒸肉,此餐馆有4个团购
